trade_date,open,high,low,close,change,return,volume,volume_in_money
2015/11/25,7803.29,7925.54,7795.16,7922.38,123.89,1.59,1244355.01,20653589.15
2015/11/24,7739.09,7799.01,7635.78,7798.5,54.32,0.7,1102585.58,16854129.17
2015/11/23,7816.85,7876.48,7710.05,7744.18,-62.08,-0.8,1423834.54,22760381.92
2015/11/20,7741.68,7844.06,7720.16,7806.27,87.64,1.14,1460761.78,23453670.25
2015/11/19,7553,7719.52,7538.28,7718.62,191.68,2.55,1105200.25,17580720.05
2015/11/18,7655.33,7699.61,7504.99,7526.94,-123.44,-1.61,1256900.06,19182442.05
2015/11/17,7787.08,7820.02,7635.92,7650.38,-68.47,-0.89,1627508.82,25897659.28
2015/11/16,7438.41,7719.7,7431.74,7718.86,151.75,2.01,1169199.59,18760274.48
2015/11/13,7601.15,7665.14,7478.41,7567.11,-115.34,-1.5,1475592.61,23187900.58
2015/11/12,7712.64,7739.65,7579.67,7682.45,-2.21,-0.03,1622802.93,25405687.31
2015/11/11,7589.66,7686.3,7556.37,7684.67,109.66,1.45,1520861.7,22728227.53
2015/11/10,7517.41,7633.01,7486.85,7575.01,31.21,0.41,1657375.42,25190318.97
2015/11/9,7415.76,7593.17,7350.86,7543.8,96.95,1.3,1775200.97,26931395.05
2015/11/6,7284.87,7456.24,7284.71,7446.85,170.4,2.34,1526932.72,22562935.11
2015/11/5,7277.1,7364.51,7225.65,7276.45,8.46,0.12,1851917.73,26874805.4
2015/11/4,6953.87,7268.4,6953.87,7267.99,347.89,5.03,1392083.97,20347523.02
2015/11/3,6956.89,6998.05,6860.44,6920.1,-16.33,-0.24,891053.39,13147572.47
2015/11/2,6936.37,7137.05,6914.15,6936.43,-148.54,-2.1,1072043.23,15787255.74
2015/10/30,7088.81,7185.53,6984.5,7084.97,-24,-0.34,1100695.52,16436627.01
2015/10/29,7097.19,7185.21,7011.86,7108.98,60.08,0.85,1107412.69,16216687.37
2015/10/28,7179.99,7270.79,7019.61,7048.9,-182.54,-2.52,1327242.2,19411870.11
2015/10/27,7123.08,7266.78,6900.44,7231.44,44.68,0.62,1474412.82,21078233.16
2015/10/26,7223.16,7233.36,7088.57,7186.76,48.52,0.68,1633047.15,23611632.69
2015/10/23,7015.62,7169.37,6988.55,7138.23,173.94,2.5,1588989.62,23132550.21
2015/10/22,6708.21,6970.68,6700.62,6964.3,251.56,3.75,1354709,18402257.63
2015/10/21,7159.13,7186.54,6689.27,6712.74,-449.34,-6.27,1781691.81,23818207.59
